類別,平均目標金額,平均募資百分比,平均投資人數,集資成功比例
出版,855952.0838323353,2510.576846307385,585.7524950099801,0.7704590818363274
地方創生,344861.77456647396,265.77456647398844,146.28323699421966,0.7225433526011561
挺好店,220640.43113772455,801.251497005988,100.80239520958084,0.844311377245509
攝影,1063000.71875,1079.84375,432.0625,0.765625
教育,704304.9933554818,726.1760797342192,251.43521594684384,0.7441860465116279
新春賀喜,125158.0,929.0,104.53488372093024,0.7906976744186046
時尚,744667.8568665377,1005.0309477756286,266.59961315280464,0.7891682785299806
社會,641706.5573394495,192.21100917431193,366.26376146788994,0.7798165137614679
科技,3291086.4923439343,3199.5388692579504,660.5441696113074,0.8186101295641932
空間,1259325.6666666667,1259.9814814814815,256.31481481481484,0.6666666666666666
藝術,308509.1379310345,364.82183908045977,175.04022988505747,0.7528735632183908
表演,122232.18045112782,161.74436090225564,68.77443609022556,0.7368421052631579
設計,1463995.6051724139,1561.792672413793,621.6405172413793,0.7676724137931035
遊戲,941955.4528301887,2494.911051212938,474.44743935309975,0.77088948787062
電影動畫,232125.04918032786,177.8087431693989,151.36612021857923,0.6885245901639344
音樂,244477.09677419355,164.03225806451613,142.53225806451613,0.7473118279569892
飲食,716272.9087591241,1652.8503649635036,268.0565693430657,0.7864963503649635
